logprob,Id,Ti,L,Y,CC,ECC,RId,W,AA,F,J
-18.673,2287166047,satellite evidence of archaeological site looting in egypt 2002 2013,en,2016,22,22,"1504183433,2096464883,1991238184,2477433893,627564353,1964775413,584847175,2016170005,345177247,1550930323,2103487403,1519283131,2210423779,2042966696,2484513495,1568332829,2042657211,1482543256,1993594434,2559511674,1977902375,2798711164,2465996274","2002,2013,archaeological,egypt,evidence,looting,satellite,site",sarah parcak|2469453486|david gathings|2032577763|chase childs|2286580088|greg mumford|2225881755|eric h cline|2101448327,satellite imagery|2778102629|satellite|19269812|looting|2780570456|history|95457728|archaeology|166957645|ancient history|195244886,antiquity|173880072
-18.771,2074471048,geospatial revolution and remote sensing lidar in mesoamerican archaeology,en,2012,89,125,"2753533763,1990077509,2148516594,2149528541,2294794387,1798489336,2096079006,1967201762,417835171,2059261891,592717578,577836502,2486238598,2105995943,120413888,2109424088,1486500762,2048781488,2303539702,2113027649,2063075641,2136175106,2594391038,2128322175,1992942165,2013618901,2051260748,2060198798,2492020502,2504522231,2062056316,2034135720,2102778100,1991396034,2120625650,2319918951,2028090133,626889072,654519206,1970043068,2253796279,2013668561,2001467918,2318630729,1967626751,2323333087,2320432925,646131102,2795873946,2014952163","archaeology,geospatial,lidar,mesoamerican,remote,revolution,sensing",arlen f chase|2168778769|diane z chase|2077539664|christopher t fisher|2111404777|stephen j leisz|2495952034|john f weishampel|2091044228,vegetation|172427765|urbanism|207141826|remote sensing|62649853|ranging|115051666|lidar|51399673|geospatial analysis|9770341|geography|205649164|archaeology|166957645,pnas|125754415
-18.8,1504183433,satellite remote sensing for archaeology,en@@@ja,2009,119,184,,"archaeology,remote,satellite,sensing",sarah h parcak|253771894,satellite|19269812|remote sensing|62649853|imagery analysis|140217830|geography|205649164|cultural heritage management|93371752|archaeology|166957645,
-18.808,2091460873,lidar derived local relief models a new tool for archaeological prospection,en,2010,94,184,"2010221273,2083281122,2213196136,2202777762,1798489336,2323766051,2151487447,1990868684,2146819273,2011517993,2496026278","archaeological,derived,lidar,local,models,prospection,relief,tool",ralf hesse|2652057278,topographic map|55555194|ridge|32277403|remote sensing|62649853|prospection|2778426922|lidar|51399673|geology|127313418|elevation|142816520|earthworks|156945495|digital elevation model|181843262|archaeology|166957645,archaeological prospection|180658431
-18.834,2202777762,the potential of airborne lidar for detection of archaeological features under woodland canopies,en,2005,102,166,"2056769281,1009712756,2143727411","airborne,archaeological,canopies,detection,features,lidar,potential,woodland",b j devereux|2692190370|g s amable|2709006732|p crow|2702723102|a d cliff|2697450189,woodland|203174812|tree canopy|39807119|remote sensing|62649853|lidar|51399673|history|95457728|archaeology|166957645,antiquity|173880072
-18.862,2049496821,stepped frequency ground penetrating radar survey with a multi element array antenna results from field application on archaeological sites,en,2010,50,77,"2145308816,2164345547,1978845392,2091294729,2016171710,2157716938,2028089885,2002022871,1491698828","antenna,application,archaeological,array,element,field,frequency,ground,multi,penetrating,radar,sites,stepped,survey",neil linford|1972671123|paul linford|1985797339|louise martin|2230518824|andy payne|2171453219,survey data collection|198477413|remote sensing|62649853|radar|554190296|ground penetrating radar|71813955|geology|127313418|excavation|31858485|data acquisition|163985040|bandwidth|74211669|archaeology|166957645|antenna array|62191587|antenna|21822782,archaeological prospection|180658431
-18.867,2142566733,archaeological site monitoring uav photogrammetry can be an answer,en,2012,42,73,"2138784324,2022760210,2038705556,1998327661,2140558412,1560523531,1559906913,2755878305,2308113705,1966984392,156340125,2159651138,175582001,2744223956,2188172153,18749785,2186417974,2616495740","answer,archaeological,monitoring,photogrammetry,site,uav",fulvio rinaudo|687459025|filiberto chiabrando|2122991678|andrea maria lingua|1924943578|antonia teresa spano|2040988091,total station|168498295|software|2777904410|remote sensing|62649853|ranging|115051666|photogrammetry|117455697|orthophoto|82789328|excavation|31858485|engineering|127413603|digital camera|2779705975|control network|74925373|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645,isprs international archives photogrammetry remote sensing spatial information sciences|2764939010
-18.887,2050776140,efficient large scale archaeological prospection using a true three dimensional ground penetrating radar array system,en,2010,60,73,"2145308816,604244784,2164345547,2325962345,2125860377,1978845392,2005273020,2091294729,2013780216,1497653339,2040554620,2040607262,67678042,1881052037,2006825277,42113956,2004409369,2069608023,1491698828,1958728667,140769834,1824458827,1986709596","archaeological,array,dimensional,efficient,ground,large,penetrating,prospection,radar,scale,system,three,true",immo trinks|2223747502|bernth johansson|2156812960|jaana gustafsson|2118105792|jesper emilsson|2012208279|johan gustaf friborg|2646209300|christer gustafsson|2143261198|johan nissen|2419516668|alois hinterleitner|2433864649,sampling|90842384|remote sensing|62649853|radar|554190296|prospection|2778426922|ground penetrating radar|71813955|geology|127313418|cultural heritage|60671577|archaeology|166957645,archaeological prospection|180658431
-18.896,2278448846,application of sky view factor for the visualisation of historic landscape features in lidar derived relief models,en,2011,68,113,"2069159643,2083281122,2213196136,2091460873,2202777762,2008070546,2162540389,1798489336,2032075694,2020520924,2020716461,2127592841,2790738555,2053579689,2067872494,2146819273,2154587786,77965016,1529077413,2146380096,2183867852,2361633851,2023887432,2055140920","application,derived,factor,features,historic,landscape,lidar,models,relief,sky,view,visualisation",ziga kokalj|1988930059|klemen zaksek|229551928|kristof ostir|2151859425,visualization|36464697|visibility|123403432|view factor|66197374|sky|73329638|remote sensing|62649853|point source|103783831|lidar|51399673|history|95457728|diffuse reflection|82261727|archaeology|166957645|aerial survey|176262533,antiquity|173880072
-18.94,640388030,interpreting ground penetrating radar for archaeology,en@@@ja,2012,42,66,,"archaeology,ground,interpreting,penetrating,radar",lawrence b conyers|1392871264,surveyor|23588892|remote sensing|62649853|radar|554190296|ground penetrating radar|71813955|geography|205649164|cartography|58640448|archaeology|166957645,
-18.942,1798489336,visualisation of lidar terrain models for archaeological feature detection,en@@@es@@@fr,2008,87,130,2213196136,"archaeological,detection,feature,lidar,models,terrain,visualisation",b j devereux|2692190370|g s amable|2709006732|p crow|2702723102,visualization|36464697|terrain|161840515|remote sensing|62649853|lidar|51399673|history|95457728|feature detection|155455680|digitization|2779308522|archaeology|166957645|aerial survey|176262533,antiquity|173880072
-18.951,1978845392,georadar in the roman civil town carnuntum austria an approach for archaeological interpretation of gpr data,en,2002,92,133,"2069225890,1972044994,1513488900,1497653339,2799149123,2148982690,2043310452,2074138311,2052195531,2098149092,2038220201,1947994352","approach,archaeological,austria,carnuntum,civil,data,georadar,gpr,interpretation,roman,town",wolfgang neubauer|2106824575|alois ederhinterleitner|1765929309|sirri seren|2307196916|peter melichar|1984613836,remote sensing|62649853|reading distance|2910873347|raster graphics|181844469|radar|554190296|prospection|2778426922|interpretation process|2910586218|ground penetrating radar|71813955|geology|127313418|archaeology|166957645,archaeological prospection|180658431
-18.968,2291076239,uavs for the documentation of archaeological excavations,en,2010,42,64,"2168583588,186669090,2902987374,180142831","archaeological,documentation,excavations,uavs",martin sauerbier|2105245141|henri eisenbeiss|2087314693,workflow|177212765|software|2777904410|remote sensing|62649853|photogrammetry|117455697|orthophoto|82789328|image processing|9417928|flight planning|2776381931|excavation|31858485|engineering|127413603|documentation|56666940|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645,international archives photogrammetry remote sensing spatial information sciences|2737215817
-19.044,2043002852,detection of archaeological crop marks by using satellite quickbird multispectral imagery,en,2007,120,170,"2109200236,106317687,2081657528,2067298841,2143727411,2018297962,2157716938,2020779789,2042358730,2073691881,2085642543,2030715167,2093602486,2130879734,2074537726,1984760092,2797956945,2513455848,622466777","archaeological,crop,detection,imagery,marks,multispectral,quickbird,satellite",rosa lasaponara|233151887|nicola masini|146908812,vegetation|172427765|remote sensing|62649853|phenology|51417038|normalized difference vegetation index|1549246|multispectral image|173163844|geology|127313418|archaeology|166957645,j archaeol sci|190270160
-19.052,1584092637,remote sensing for archaeological heritage management,en,2012,29,29,"2016685744,2530785406,125115083","archaeological,heritage,management,remote,sensing",alfredo maximiano castillejo|2312988251,remote sensing|62649853|history|95457728|cultural heritage management|93371752|archaeology|166957645,european journal of archaeology|162341422
-19.067,2129493656,archaeological aerial thermography a case study at the chaco era blue j community new mexico,en,2014,36,61,"2172188317,2124313187,2011551841,1986320828,2010502171,1540734782,2038705556,1998327661,2291076239,1582209946,1971492509,2132226878,1964697192,1967972970,2093468690,2095105537,614780824,2007351065,1972313293,2054052556,2553683857,1415229063,2489860146,1981817354,2076656482,1998173242,2479821048,2054549034,2128824407,2317124916,2145049502","aerial,archaeological,blue,case,chaco,community,era,j,mexico,thermography",jesse casana|2133247355|john kantner|2717858826|adam wiewel|2323350189|jackson cothren|2154240125,visibility|123403432|thermography|2779222261|remote sensing|62649853|photogrammetry|117455697|geology|127313418|archaeology|166957645|aerial survey|176262533,j archaeol sci|190270160
-19.077,2048128407,helikite aerial photography a versatile means of unmanned radio controlled low altitude aerial archaeology,en,2009,34,34,"1573993871,2026593617,2308113705,2118803519,2029605798,39005036,1804040689,2006477706,2080124997,2019465998,2316556583,2315884007,2213894662,2299546333,2298497692,93591365,2524996613,45730546,2017011626,650169531,2041724473,2030195660","aerial,altitude,archaeology,controlled,helikite,low,means,photography,radio,unmanned,versatile",geert verhoeven|2169669433|jo loenders|2213385597|frank vermeulen|2112772285|roald docter|2122438261,remote sensing|62649853|photography|119657128|geology|127313418|balloon|139059822|archaeology|166957645|altitude|29403383|aerial survey|176262533|aerial photography|133214962|aerial archaeology|2779668730,archaeological prospection|180658431
-19.096,2058105619,the study and characterization of emperor traiano s villa altopiani di arcinazzo roma using high resolution integrated geophysical surveys,en,2003,89,123,"2046451379,1513488900,2005273020,2153367289,2028089885,2167268951,2148982690,2060318175,2052195531,2010606670,1973049152,2042456470,2016532746,2119335128,2289299689,1968773411,2157649190,2593760233,2048487042,2029192158,2073651345","altopiani,arcinazzo,characterization,di,emperor,geophysical,high,integrated,resolution,roma,surveys,traiano,villa",salvatore piro|2197783474|dean goodman|2121269922|yasushi nishimura|2277217696,treasure|2776084483|semi major axis|77978565|remote sensing|62649853|radar|554190296|ground penetrating radar|71813955|geophysics|8058405|geophysical survey|114315601|geology|127313418|garden pond|2778279886|emperor|2776501734|coincident|109609718|archaeology|166957645,archaeological prospection|180658431
-19.125,2101953912,satellite radar interferometry for monitoring and early stage warning of structural instability in archaeological sites,en,2012,56,65,"2047029664,2129206142,2065989874,2123632763,2021517173,1975382649,1983080803,2126951527,2113972550,2013481289,2096195040,1979230542,1972883903,1980115800,2139216479,2054516014,2019401507,1971700571,2142143094,2080384632,2125856335,2015736486,1979670163,2040865427,2576917002","archaeological,early,instability,interferometry,monitoring,radar,satellite,sites,stage,structural,warning",deodato tapete|2051837759|riccardo fanti|1977200140|r cecchi|2577607131|p petrangeli|1269756282|nicola casagli|2094403090,synthetic aperture radar|87360688|seismology|165205528|satellite|19269812|remote sensing|62649853|radar|554190296|interferometry|166689943|interferometric synthetic aperture radar|22286887|instability|207821765|geology|127313418|geohazard|2779629037|archaeology|166957645,j geophys eng|35316464
-19.125,1968999285,a space view of radar archaeological marks first applications of cosmo skymed x band data,en@@@zh_chs,2014,24,24,"2104763670,2128033169,2043002852,2101953912,2102828492,2029091038,2023375984,2118426743,1913732766,2065349965,2018297962,1609821603,2171817982,2060133927,1993102983,1540377832,1880836256,2043424844,2029890934,2085642543,1580987700,2098526008,2130879734,2159492909,2735137287","applications,archaeological,band,cosmo,data,first,marks,radar,skymed,space,view,x",fulong chen|2122728365|nicola masini|146908812|ruixia yang|2615125436|pietro milillo|2078479346|dexian feng|2505691432|rosa lasaponara|233151887,x band|99936299|synthetic aperture radar|87360688|space based radar|36067731|shadow|196998284|remote sensing|62649853|radar|554190296|geology|127313418|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645,remote sensing|43295729
-19.186,2140558412,photogrammetric documentation of an archaeological site palpa peru using an autonomous model helicopter,en,2005,44,69,"186669090,1949726038,53652771,1527630011,620760051,9402541,2313933981","archaeological,autonomous,documentation,helicopter,model,palpa,peru,photogrammetric,site",henri eisenbeiss|2087314693|karsten lambers|1914535798|martin sauerbier|2105245141|zhang li|2310846884,triangulation|84049019|software|2777904410|remote sensing|62649853|photogrammetry|117455697|global positioning system|60229501|geography|205649164|documentation|56666940|architecture|123657996|archaeology|166957645|aerial image|2776429412|3d modeling|2777897806,
-19.214,1496823833,mapping of archaeological areas using a low cost uav the augusta bagiennorum test site,it,2007,38,59,"71401400,166161138","archaeological,areas,augusta,bagiennorum,cost,low,mapping,site,test,uav",h bendea|2890138308|filiberto chiabrando|2122991678|f giulio tonolo|2653001404|davide marenchino|1910570245,remote sensing|62649853|photogrammetry|117455697|lidar|51399673|ground sample distance|197513456|geomatics|12780434|geographic information system|41856607|engineering|127413603|digital camera|2779705975|autopilot|18020424|archaeology|166957645|aerial survey|176262533,
-19.24,1932582440,a comparison of visualization techniques for models created from airborne laser scanned data,en,2012,46,73,"2011551841,2091460873,2278448846,1798489336,2097904732,2038407189,2146819273,2470067090,2130879734","airborne,comparison,created,data,laser,models,scanned,techniques,visualization",rebecca bennett|2123181868|kate welham|2289213271|ross a hill|2468020076|andrew l j ford|2310706129,visualization|36464697|view factor|66197374|remote sensing|62649853|ranging|115051666|lidar|51399673|landscape assessment|147858270|geospatial analysis|9770341|geology|127313418|feature recognition|180863505|creative visualization|14669888|archaeology|166957645,archaeological prospection|180658431
-19.25,1513488900,gpr time slices in archaeological prospection,en,1995,103,186,,"archaeological,gpr,prospection,slices,time",dean goodman|2121269922|yasushi nishimura|2277217696|j d rogers|2717473455,remote sensing|62649853|radar|554190296|prospection|2778426922|ground penetrating radar|71813955|geology|127313418|archaeology|166957645,archaeological prospection|180658431
-19.273,864372470,an overview of satellite synthetic aperture radar remote sensing in archaeology from site detection to monitoring,en,2017,33,33,"2099008772,2123632763,1566144858,2121773078,2097762029,1502701425,1968999285,2101953912,2102828492,2145295698,2084899332,2111674744,2103290993,2030607284,1555700134,1913732766,2065349965,1609821603,1545519422,2095401197,2081497821,1540377832,2033535614,2158549276,1880836256,2089705972,2029890934,2045381284,2041755443,2106652097,2060948559,2152121075,1903475443,1996967970,2048846648,2050262721,1983558151,2083122172,182008280,1241861492,2468363567,622466777","aperture,archaeology,detection,monitoring,overview,radar,remote,satellite,sensing,site,synthetic",fulong chen|2122728365|rosa lasaponara|233151887|nicola masini|146908812,synthetic aperture radar|87360688|satellite|19269812|remote sensing|62649853|multispectral image|173163844|materials science|192562407|lidar|51399673|interferometry|166689943|earth observation|39399123|archaeology|166957645,j cult herit|1016481467
-19.292,1989837633,integrated gis remote sensing and geomorphologic approaches for the reconstruction of the landscape habitation of thessaly during the neolithic period,en,2011,55,72,"2129905273,1538404606,297006095,2041168332,2119211033,2157235704,1991893215,2512002934,2122355661,2586280608,2038467791,2095715221,2093878803,1494227859,2070328828,2520788587,2331565528,2460054742,2903545057","approaches,geomorphologic,gis,habitation,integrated,landscape,neolithic,period,reconstruction,remote,sensing,thessaly",dimitrios alexakis|2830088056|apostolos sarris|2139383741|theodoros astaras|2894079658|konstantinos albanakis|2072162632,remote sensing|62649853|landscape archaeology|179399861|human settlement|16678853|geology|127313418|bronze age|120876096|archaeology|166957645,j archaeol sci|190270160
-19.311,1623899554,remote sensing in archaeology,ja,2007,76,78,,"archaeology,remote,sensing",james wiseman|2142452866|farouk elbaz|1045709392,synthetic aperture radar|87360688|remote sensing|62649853|radar imaging|10929652|landscape archaeology|179399861|interferometric synthetic aperture radar|22286887|ground penetrating radar|71813955|geography|205649164|geographic information system|41856607|geoarchaeology|18065371|cultural heritage management|93371752|archaeology|166957645,
-19.321,2046416906,unmanned aerial systems and spectroscopy for remote sensing applications in archaeology,en,2015,15,15,"1989837633,2004638404,2051176828,2118955670,868727935,2068580990,2087375155,2074039810,2059580680,2086871164,2127229172,1974264916,1981102219,2101626103,2170533918","aerial,applications,archaeology,remote,sensing,spectroscopy,systems,unmanned",k themistocleous|672579825|athos agapiou|2102797581|branka cuca|958544279|diofantos g hadjimitsis|1987843543,vegetation|172427765|spectroscopy|32891209|spectroradiometer|130066347|remote sensing application|183365957|remote sensing|62649853|phenology|51417038|image processing|9417928|ground truth|146849305|geography|205649164|earth observation|39399123|archaeology|166957645,isprs international archives photogrammetry remote sensing spatial information sciences|2764939010
-19.322,2150509498,geophysical archaeology research agendas for the future some ground penetrating radar examples,en,2010,50,80,"2145308816,2164345547,2325962345,2131016264,2119333657,2157716938,2087919905,2167268951,2022249607,1881052037,2113738176,2070069587,1980892628,2272634520,2166186151,2089317095,1998864707,2582276672","agendas,archaeology,examples,future,geophysical,ground,penetrating,radar,research",lawrence b conyers|1392871264|juerg leckebusch|2608473440,software|2777904410|remote sensing|62649853|radar|554190296|ground penetrating radar|71813955|geophysics|8058405|geology|127313418|data acquisition|163985040|archaeology|166957645,archaeological prospection|180658431
-19.33,2023375984,integrating radar and laser based remote sensing techniques for monitoring structural deformation of archaeological monuments,en,2013,45,70,"2047029664,2129206142,2141414687,2885836695,2085680307,2101443124,2104509690,2069277484,1970767798,1980779042,2086398360,2038406388,2047834271,2164488281,1966494591,2013481289,2050601294,1905810435,2026167492,2481488871,2101953912,2136380262,1972883903,2016574370,2011050556,2004638404,1483394429,2019401507,2050978720,2141679717,2005070893,2098172227,2061837299,2060059306,1966001053,2133288330,2143353299,2082102723,1512712028,173470794,2576917002,575948769,589956777,2727433028","archaeological,deformation,integrating,laser,monitoring,monuments,radar,remote,sensing,structural,techniques",deodato tapete|2051837759|nicola casagli|2094403090|guido luzi|2039670884|riccardo fanti|1977200140|giovanni gigli|2134806551|davide leva|2127224109,warning system|29825287|synthetic aperture radar|87360688|remote sensing|62649853|radar|554190296|masonry|535899295|laser scanning|141349535|laser|520434653|interferometry|166689943|instability|207821765|geology|127313418|archaeology|166957645,j archaeol sci|190270160
-19.367,1978554866,application of structured light imaging for high resolution mapping of underwater archaeological sites,en,2010,48,72,"1479709852,2112731915,2134867446,2272324619,2157932170,2041285268,1995518821,1518323279,2334553722,2090682691,1978670797,2100483617,2099210317,2616043458,2043600313,2040697853,1994102944,2093697299,2172030425,2121572795,2175465833,2077502906,2158939680,2902188313,2057211185,2111039480,2138115297,2147492898","application,archaeological,high,imaging,light,mapping,resolution,sites,structured,underwater",chris roman|2145019425|gabrielle inglis|2170294176|james rutter|2489372338,structured light|193581530|stereo imaging|2776122016|remote sensing|62649853|laser|520434653|image sensor|76935873|image resolution|205372480|geography|205649164|documentation|56666940|computer vision|31972630|bathymetry|174943157|attenuation|184652730|artificial intelligence|154945302|archaeology|166957645,
-19.381,2004638404,satellite remote sensing in archaeology past present and future perspectives,en,2011,67,100,"2083281122,2202777762,2043002852,2067298841,2037028543,2102828492,1989837633,2170673946,1996922388,2071719485,2083197550,201224041,2065349965,2018297962,2119211033,2081744794,2118955670,1972427274,1967892600,2083511573,2017167989,1916920390,2005426878,1966001053,1997575625,2073764051,2085642543,2041755443,2152121075,2069152987,2023573580,2025623127,2080896815,2074537726,1984760092,2037542203,1981044694,2471613662,607042142,2128940261,2247189989","archaeology,future,past,perspectives,remote,satellite,sensing",rosa lasaponara|233151887|nicola masini|146908812,satellite|19269812|remote sensing|62649853|geology|127313418|earth remote sensing|115240124|archaeology|166957645,j archaeol sci|190270160
-19.39,2602736756,gpr history trends and future developments,,2002,119,180,"2134941671,1972044994,2116170721,2060376211,2338785377,2161963511,2146994448,2039426298,2788377338,2315796932,200511920,2272781414,1998704880,2004259806,2909202344,1521002779,2000699872,2038135169,2023393739,2166683065","developments,future,gpr,history,trends",a p annan|2678571744,remote sensing|62649853|ground penetrating radar|71813955|geography|205649164|archaeology|166957645,
