id,ti,cc,aanames,aanums
2049496821,stepped frequency ground penetrating radar survey with a multi element array antenna results from field application on archaeological sites,50,"['neil linford', 'paul linford', 'louise martin', 'andy payne']","['1972671123', '1985797339', '2230518824', '2171453219']"
2142566733,archaeological site monitoring uav photogrammetry can be an answer,42,"['fulvio rinaudo', 'filiberto chiabrando', 'andrea maria lingua', 'antonia teresa spano']","['687459025', '2122991678', '1924943578', '2040988091']"
2050776140,efficient large scale archaeological prospection using a true three dimensional ground penetrating radar array system,60,"['immo trinks', 'bernth johansson', 'jaana gustafsson', 'jesper emilsson', 'johan gustaf friborg', 'christer gustafsson', 'johan nissen', 'alois hinterleitner']","['2223747502', '2156812960', '2118105792', '2012208279', '2646209300', '2143261198', '2419516668', '2433864649']"
2278448846,application of sky view factor for the visualisation of historic landscape features in lidar derived relief models,68,"['ziga kokalj', 'klemen zaksek', 'kristof ostir']","['1988930059', '229551928', '2151859425']"
640388030,interpreting ground penetrating radar for archaeology,42,['lawrence b conyers'],['1392871264']
1798489336,visualisation of lidar terrain models for archaeological feature detection,87,"['b j devereux', 'g s amable', 'p crow']","['2692190370', '2709006732', '2702723102']"
1978845392,georadar in the roman civil town carnuntum austria an approach for archaeological interpretation of gpr data,92,"['wolfgang neubauer', 'alois ederhinterleitner', 'sirri seren', 'peter melichar']","['2106824575', '1765929309', '2307196916', '1984613836']"
2291076239,uavs for the documentation of archaeological excavations,42,"['martin sauerbier', 'henri eisenbeiss']","['2105245141', '2087314693']"
2043002852,detection of archaeological crop marks by using satellite quickbird multispectral imagery,120,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
1584092637,remote sensing for archaeological heritage management,29,['alfredo maximiano castillejo'],['2312988251']
2129493656,archaeological aerial thermography a case study at the chaco era blue j community new mexico,36,"['jesse casana', 'john kantner', 'adam wiewel', 'jackson cothren']","['2133247355', '2717858826', '2323350189', '2154240125']"
2048128407,helikite aerial photography a versatile means of unmanned radio controlled low altitude aerial archaeology,34,"['geert verhoeven', 'jo loenders', 'frank vermeulen', 'roald docter']","['2169669433', '2213385597', '2112772285', '2122438261']"
2058105619,the study and characterization of emperor traiano s villa altopiani di arcinazzo roma using high resolution integrated geophysical surveys,89,"['salvatore piro', 'dean goodman', 'yasushi nishimura']","['2197783474', '2121269922', '2277217696']"
2101953912,satellite radar interferometry for monitoring and early stage warning of structural instability in archaeological sites,56,"['deodato tapete', 'riccardo fanti', 'r cecchi', 'p petrangeli', 'nicola casagli']","['2051837759', '1977200140', '2577607131', '1269756282', '2094403090']"
1968999285,a space view of radar archaeological marks first applications of cosmo skymed x band data,24,"['fulong chen', 'nicola masini', 'ruixia yang', 'pietro milillo', 'dexian feng', 'rosa lasaponara']","['2122728365', '146908812', '2615125436', '2078479346', '2505691432', '233151887']"
2140558412,photogrammetric documentation of an archaeological site palpa peru using an autonomous model helicopter,44,"['henri eisenbeiss', 'karsten lambers', 'martin sauerbier', 'zhang li']","['2087314693', '1914535798', '2105245141', '2310846884']"
1496823833,mapping of archaeological areas using a low cost uav the augusta bagiennorum test site,38,"['h bendea', 'filiberto chiabrando', 'f giulio tonolo', 'davide marenchino']","['2890138308', '2122991678', '2653001404', '1910570245']"
1932582440,a comparison of visualization techniques for models created from airborne laser scanned data,46,"['rebecca bennett', 'kate welham', 'ross a hill', 'andrew l j ford']","['2123181868', '2289213271', '2468020076', '2310706129']"
1513488900,gpr time slices in archaeological prospection,103,"['dean goodman', 'yasushi nishimura', 'j d rogers']","['2121269922', '2277217696', '2717473455']"
864372470,an overview of satellite synthetic aperture radar remote sensing in archaeology from site detection to monitoring,33,"['fulong chen', 'rosa lasaponara', 'nicola masini']","['2122728365', '233151887', '146908812']"
1989837633,integrated gis remote sensing and geomorphologic approaches for the reconstruction of the landscape habitation of thessaly during the neolithic period,55,"['dimitrios alexakis', 'apostolos sarris', 'theodoros astaras', 'konstantinos albanakis']","['2830088056', '2139383741', '2894079658', '2072162632']"
1623899554,remote sensing in archaeology,76,"['james wiseman', 'farouk elbaz']","['2142452866', '1045709392']"
2046416906,unmanned aerial systems and spectroscopy for remote sensing applications in archaeology,15,"['k themistocleous', 'athos agapiou', 'branka cuca', 'diofantos g hadjimitsis']","['672579825', '2102797581', '958544279', '1987843543']"
2150509498,geophysical archaeology research agendas for the future some ground penetrating radar examples,50,"['lawrence b conyers', 'juerg leckebusch']","['1392871264', '2608473440']"
2023375984,integrating radar and laser based remote sensing techniques for monitoring structural deformation of archaeological monuments,45,"['deodato tapete', 'nicola casagli', 'guido luzi', 'riccardo fanti', 'giovanni gigli', 'davide leva']","['2051837759', '2094403090', '2039670884', '1977200140', '2134806551', '2127224109']"
1978554866,application of structured light imaging for high resolution mapping of underwater archaeological sites,48,"['chris roman', 'gabrielle inglis', 'james rutter']","['2145019425', '2170294176', '2489372338']"
2004638404,satellite remote sensing in archaeology past present and future perspectives,67,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
2602736756,gpr history trends and future developments,119,['a p annan'],['2678571744']
2042474989,visualization of lidar derived relief models for detection of archaeological features,56,"['benjamin stular', 'iga kokalj', 'kristof ostir', 'laure nuninger']","['2656196460', '2307227852', '2151859425', '2047611814']"
2091294729,three dimensional multi offset ground penetrating radar imaging of archaeological targets,40,"['adam d booth', 'adam d booth', 'neil linford', 'roger a clark', 'tavi murray']","['2423311355', '2423311355', '1972671123', '2467812216', '2102468776']"
1996922388,methods for the extraction of archaeological features from very high resolution ikonos 2 remote sensing imagery hisar southwest turkey,96,"['v de laet', 'etienne paulissen', 'marc waelkens']","['2169294177', '1907811893', '1481642178']"
2080058192,camp delta google earth and the ethics of remote sensing in archaeology,38,['adrian myers'],['2142395980']
2296421709,looting marks in space borne sar imagery measuring rates of archaeological looting in apamea syria with terrasar x staring spotlight,32,"['deodato tapete', 'deodato tapete', 'francesca cigna', 'daniel n m donoghue']","['2051837759', '2051837759', '1139602135', '2109518512']"
1971492509,integrating multidimensional geophysical data,65,['kenneth l kvamme'],['2600466324']
2086349579,detection of exposed and subsurface archaeological remains using multi sensor remote sensing,85,"['aled rowlands', 'apostolos sarris']","['2096352476', '2139383741']"
1530993534,mapping submerged archaeological sites using stereo vision photogrammetry,36,"['jon c henderson', 'oscar pizarro', 'matthew johnsonroberson', 'ian mahon']","['2330015038', '2017108474', '2033490064', '2076742173']"
2089919337,method for photogrammetric surveying of archaeological sites with light aerial platforms,31,"['a t mozascalvache', 'jose luis perezgarcia', 'f j cardenalescarcena', 'e matacastro', 'j delgadogarcia']","['2625022871', '2207373149', '2325228963', '2315661309', '2625888111']"
2071719485,new discoveries in the piramide naranjada in cahuachi peru using satellite ground probing radar and magnetic investigations,31,"['rosa lasaponara', 'nicola masini', 'enzo rizzo', 'giuseppe orefici']","['233151887', '146908812', '2299022984', '1307530945']"
1991238184,satellite based monitoring of looting and damage to archaeological sites in syria,25,"['jesse casana', 'mitra panahipour']","['2708339811', '2413682747']"
2083197550,satellite imagery and archaeology the example of corona in the altai mountains,53,"['rudi goossens', 'alain de wulf', 'jean bourgeois', 'wouter gheyle', 'tom willems']","['2097165080', '2027984156', '2267678628', '1458861332', '2893750063']"
1555700134,prospection and monitoring of the archaeological heritage of nasca peru with envisat asar,27,"['deodato tapete', 'francesca cigna', 'nicola masini', 'rosa lasaponara']","['2051837759', '1139602135', '146908812', '233151887']"
2587918125,drones in archaeology state of the art and future perspectives,18,"['stefano campana', 'stefano campana']","['2892620085', '2892620085']"
1481905924,satellite remote sensing a new tool for archaeology,34,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
2510951086,model reconstruction for 3d vizualization of cultural heritage sites using open data from social media the case study of soli cyprus,3,['kyriacos themistocleous'],['2024531300']
2057414382,evaluating airborne lidar for detecting settlements and modified landscapes in disturbed tropical environments at uxbenka belize,39,"['keith m prufer', 'amy e thompson', 'douglas j kennett']","['667224886', '2288923208', '2684801672']"
165187429,satellite culture global positioning systems inuit wayfinding and the need for a new account of technology commentaries author s reply,91,"['claudio aporta', 'eric higgs', 'david hakken', 'lisa palmer', 'mark h palmer', 'robert rundstrom', 'bryan pfaffenberger', 'george w wenzel', 'thomas widlok']","['2678258285', '2654464210', '2694088308', '2475820454', '2102680088', '2340907120', '2711813333', '2718442709', '2811327513']"
201224041,evaluation of corona and ikonos high resolution satellite imagery for archaeological prospection in western syria,67,"['anthony beck', 'graham philip', 'maamoun abdulkarim', 'daniel n m donoghue']","['2122419906', '2141896634', '2076396712', '2109518512']"
2145257659,reconstruction of the great buddha of bamiyan afghanistan,29,"['armin grun', 'fabio remondino', 'li zhang']","['2603818810', '5114806', '2635977953']"
1834220646,image based modelling from unmanned aerial vehicle uav photogrammetry an effective low cost tool for archaeological applications,41,"['jesus fernandezhernandez', 'diego gonzalezaguilera', 'pablo rodriguezgonzalvez', 'juan mancerataboada']","['2632198184', '2041873084', '916236146', '2179086799']"
1913732766,satellite synthetic aperture radar in archaeology and cultural landscape an overview,36,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
1995168502,array gpr yakumo and its application to archaeological survey and environmental studies,7,['motoyuki sato'],['2107078328']
2064106118,new ways to extract archaeological information from hyperspectral pixels,32,"['michael doneus', 'geert verhoeven', 'clement atzberger', 'michael wess', 'michal rus']","['2077736714', '2169669433', '1679575905', '1983554343', '2304831108']"
2018297962,the use of aster satellite imagery in archaeological contexts,74,['mark altaweel'],['1978271887']
2501556412,high resolution underwater robotic vision based mapping and three dimensional reconstruction for archaeology,13,"['matthew johnsonroberson', 'mitch bryson', 'ariell friedman', 'oscar pizarro', 'giancarlo troni', 'paul ozog', 'jon c henderson']","['2033490064', '2127442694', '2209974912', '2017108474', '676969794', '229212510', '2330015038']"
1545072659,a generic toolkit for the visualization of archaeological features on airborne lidar elevation data,38,"['keith challis', 'paolo forlin', 'mark kincey']","['2076522883', '1969652887', '1094293128']"
1609821603,possibilities of archaeological prospection by high resolution x band satellite radar a case study from syria,26,"['roland linck', 'roland linck', 'thomas busche', 'stefan buckreuss', 'jorg w e fassbinder', 'jorg w e fassbinder', 'sirri seren']","['2039579559', '2039579559', '2095415012', '2081226198', '705882724', '705882724', '2807365348']"
1990868684,automatic detection of circular structures in high resolution satellite images of agricultural land,50,"['oivind due trier', 'siri oyen larsen', 'rune solberg']","['1783373794', '2165019760', '2170296248']"
2281893911,accurate measurement with photogrammetry at large sites,27,['p sapirstein'],['2584050089']
2081744794,interpretation of archaeological small scale features in spectral images,18,"['ole gron', 'susanna palmer', 'fransarne stylegar', 'kim h esbensen', 'sergey kucheryavski', 'sigurd aase']","['2701104035', '2550883242', '2639201231', '41247394', '2527336977', '2102228346']"
2012833311,a versatile and low cost 3d acquisition and processing pipeline for collecting mass of archaeological findings on the field,8,"['eloi gattet', 'j devogelaere', 'romain raffin', 'laurent bergerot', 'marc daniel', 'ph jockey', 'l de luca']","['2436602574', '1263003283', '2581367938', '1820883957', '2799102197', '2899200117', '2251128550']"
2147809505,evaluation of broadband and narrowband vegetation indices for the identification of archaeological crop marks,45,"['athos agapiou', 'diofantos g hadjimitsis', 'dimitrios d alexakis']","['2102797581', '1987843543', '1993120014']"
2060133927,spectral sensitivity of alos aster ikonos landsat and spot satellite imagery intended for the detection of archaeological crop marks,38,"['athos agapiou', 'dimitrios d alexakis', 'diofantos g hadjimitsis']","['2102797581', '1993120014', '1987843543']"
2159075000,3d surveying and modeling of archaeological sites some critical issues,14,"['s gonizzi barsanti', 'fabio remondino', 'd visintini']","['2333830548', '5114806', '2678974096']"
2118955670,a history of nasa remote sensing contributions to archaeology,44,['marco j giardino'],['2648680260']
2026838648,gis in archaeology the interface between prospection and excavation,36,['wolfgang neubauer'],['2106824575']
1997841652,integration of geophysical surveys ground hyperspectral measurements aerial and satellite imagery for archaeological prospection of prehistoric sites the case study of vesztő magor tell hungary,30,"['apostolos sarris', 'nikos papadopoulos', 'athos agapiou', 'maria cristina salvi', 'diofantos g hadjimitsis', 'william a parkinson', 'richard w yerkes', 'attila gyucha', 'paul r duffy']","['2139383741', '2320419332', '2102797581', '2017240795', '1987843543', '2621698461', '2074989338', '300104971', '2113314754']"
2068580990,remote sensing techniques for reconstructing a vast neolithic settlement in southern italy,35,"['danilo gallo', 'marcello ciminale', 'helmut becker', 'nicola masini']","['2145746520', '1965874878', '2509657949', '146908812']"
1966654499,situating remote sensing in anthropological archaeology,28,"['victor d thompson', 'philip j arnold', 'thomas j pluckhahn', 'amber m vanderwarker']","['2132998548', '2100035487', '2689218802', '683208859']"
1972427274,evaluating the use of ikonos satellite imagery in lowland maya settlement archaeology,46,"['thomas g garrison', 'stephen d houston', 'charles golden', 'takeshi inomata', 'zachary nelson', 'jessica munson']","['2309836674', '2579247553', '2158017241', '2132977932', '2063280807', '2106217231']"
2157716938,from hypocaust to hyperbola ground penetrating radar surveys over mainly roman remains in the uk,41,['neil linford'],['1972671123']
2027322285,airborne laser bathymetry detecting and recording submerged archaeological sites from the air,30,"['michael doneus', 'nives doneus', 'christian briese', 'michael pregesbauer', 'gottfried mandlburger', 'geert verhoeven']","['2077736714', '1359921447', '1834339306', '2003373277', '2000938873', '2169669433']"
2090719792,high resolution echo sounding and detection of embedded archaeological objects with nonlinear sub bottom profilers,25,"['jens wunderlich', 'gert wendt', 'sabine muller']","['2136254914', '2660713442', '2433808106']"
2074665709,the role of integrated geophysical survey methods in the assessment of archaeological landscapes the case of portus,35,"['simon keay', 'simon keay', 'graeme earl', 'sophie hay', 'stephen kay', 'jessica ogden', 'kristian strutt']","['2116890535', '2116890535', '2117665592', '2112930218', '2167032031', '2778894466', '1979260581']"
1993243599,on the potential of quickbird data for archaeological prospection,35,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
1983754633,uav systems for photogrammetric data acquisition of archaeological sites,19,"['m lo brutto', 'a borruso', 'a dargenio']","['1973977791', '2687675924', '2706403063']"
1967892600,using lidar to detect cultural resources in a forested environment an example from isle royale national park michigan usa,38,"['julie m gallagher', 'richard l josephs']","['2636756810', '2039681322']"
1497653339,from nanotesla to picotesla a new window for magnetic prospecting in archaeology,50,['helmut becker'],['2907052646']
2077894907,beneath the sand remote sensing archaeology aggregates and sustainability a case study from heslerton the vale of pickering north yorkshire uk,26,"['dominic powlesland', 'james lyall', 'guy hopkinson', 'daniel n m donoghue', 'maria beck', 'aidan harte', 'david stott']","['1301761586', '2460269298', '2159822661', '2109518512', '2688805940', '2616079886', '2575879891']"
1991893215,investigation of past archaeological landscapes using remote sensing and gis a multi method case study from mount ida crete,56,"['christoph siart', 'bernhard eitel', 'diamantis panagiotopoulos']","['1969293336', '2035329611', '2253124495']"
2087375155,optimum temporal and spectral window for monitoring crop marks over archaeological remains in the mediterranean region,34,"['athos agapiou', 'diofantos g hadjimitsis', 'apostolos sarris', 'a georgopoulos', 'dimitrios d alexakis']","['2102797581', '1987843543', '2800877418', '2136041560', '1993120014']"
1545519422,alos palsar analysis of the archaeological site of pelusium,20,"['christopher stewart', 'rosa lasaponara', 'giovanni schiavon']","['2144575447', '233151887', '2683429092']"
21588333,ebsd in the earth sciences applications common practice and challenges,69,"['david j prior', 'elisabetta mariani', 'john wheeler']","['2095830836', '2239943279', '2112284519']"
2052351095,ground penetrating radar survey to map the location of buried structures under two churches,48,['giovanni leucci'],['2034046983']
1985496542,monitoring cultural heritage by comparing dems derived from historical aerial photographs and airborne laser scanning,24,"['ole risbol', 'christian briese', 'michael doneus', 'anneli nesbakken']","['2430289346', '1834339306', '2077736714', '2333635962']"
1989682539,geographic information systems gis hydrological modeling in archaeology an example from the origins of irrigation in southwest arabia yemen,27,['michael j harrower'],['2428135238']
2155545446,identification of archaeological buried remains based on the normalized difference vegetation index ndvi from quickbird satellite data,39,"['rosa lasaponara', 'nicola masini']","['233151887', '146908812']"
9402541,photogrammetric recording of the archaeological site of pinchango alto palpa peru using a mini helicopter uav,17,"['henri eisenbeiss', 'karsten lambers', 'martin sauerbier']","['2087314693', '1914535798', '2105245141']"
2106351948,from the air to beneath the soil revealing and mapping great war trenches at ploegsteert comines warneton belgium,20,"['peter masters', 'birger stichelbaut']","['2225229069', '2032927348']"
2074039810,orthogonal equations of multi spectral satellite imagery for the identification of un excavated archaeological sites,29,"['athos agapiou', 'dimitrios d alexakis', 'apostolos sarris', 'diofantos g hadjimitsis']","['2102797581', '1993120014', '2139383741', '1987843543']"
2012938189,ancient maya regional settlement and inter site analysis the 2013 west central belize lidar survey,35,"['arlen f chase', 'diane z chase', 'jaime awe', 'john f weishampel', 'gyles iannone', 'holley moyes', 'jason yaeger', 'm kathryn brown', 'ramesh l shrestha', 'william e carter', 'juan carlos fernandez diaz', 'juan carlos fernandez diaz']","['2168778769', '2077539664', '2173167140', '2091044228', '2122861598', '2049498015', '2042174567', '2155875498', '2658503792', '2305002241', '2421841220', '2421841220']"
2018601649,combining geoeye 1 satellite remote sensing uav aerial imaging and geophysical surveys in anomaly detection applied to archaeology,33,"['albert yumin lin', 'alexandre novo', 'shay harnoy', 'nathan ricklin', 'kostas stamatiou']","['2798401905', '2306069960', '673652672', '2083464779', '2016160904']"
2066101264,application of the rascan holographic radar to cultural heritage inspections,12,"['l capineri', 'p falorni', 'g borgioli', 'andrea bulletti', 's valentini', 'sergey ivashov', 'andrey zhuravlev', 'vladimir razevig', 'igor vasiliev', 'michele paradiso', 'm inagaki', 'c windsor', 't bechtel']","['1972047346', '1911930833', '1986020164', '2033499538', '2227230301', '2080565558', '2016305497', '2029525818', '2274147446', '2690976038', '2501556526', '2443689563', '1964055496']"
2155857951,gpr ert and magnetic investigations inside the martyrium of st philip hierapolis turkey,30,"['luigia nuzzo', 'giovanni leucci', 'sergio negri']","['2311959461', '2034046983', '2475331732']"
1859986355,remote sensing archaeology tracking and mapping evolution in european scientific literature from 1999 to 2015,26,"['athos agapiou', 'vasiliki lysandrou']","['2102797581', '2467911471']"
2076794619,advanced gpr for archaeological survey,7,"['motoyuki sato', 'kyoji doi', 'kazunori takahashi']","['2107078328', '2633421815', '2258673350']"
2093697299,imaging underwater for archaeology,45,"['hanumant singh', 'jonathan adams', 'david a mindell', 'brendan foley']","['2246091788', '2479077230', '2077970540', '2098955788']"
2028089885,ground penetrating radar survey at wroxeter,22,"['yasushi nishimura', 'dean goodman']","['2277217696', '2121269922']"
2059580680,the importance of accounting for atmospheric effects in the application of ndvi and interpretation of satellite imagery supporting archaeological research the case studies of palaepaphos and nea paphos sites in cyprus,36,"['athos agapiou', 'diofantos g hadjimitsis', 'christiana papoutsa', 'dimitrios d alexakis', 'george papadavid']","['2102797581', '1987843543', '1988478294', '1993120014', '2082864321']"
2086871164,remote hyperspectral imagery as a support to archaeological prospection,46,"['rosa maria cavalli', 'francesca colosi', 'angelo palombo', 'stefano pignatti', 'maurizio poscolieri']","['2305176804', '1865453616', '2113064632', '2065385335', '2694747168']"
2497468488,trends and perspectives of space borne sar remote sensing for archaeological landscape and cultural heritage applications,17,"['deodato tapete', 'francesca cigna']","['2051837759', '1139602135']"
2073163184,investigating archaeological looting using satellite images and georadar the experience in lambayeque in north peru,30,"['rosa lasaponara', 'giovanni leucci', 'nicola masini', 'raffaele persico']","['233151887', '2034046983', '146908812', '2095231049']"
2083511573,aerial remote sensing techniques used in the management of archaeological monuments on the british army s salisbury plain training area wiltshire uk,43,['ian barnes'],['2598286043']
1968286622,uav photogrammetry for archaeological survey the theaters area of pompeii,12,"['renato saleri', 'marc pierrotdeseilligny', 'emmanuel bardiere', 'valeria cappellini', 'nicolas nony', 'livio de luca', 'massimiliano campi']","['2020311921', '1984000208', '2222739301', '2306030603', '2151549409', '2131431302', '2154970795']"
2093651953,geomorphological traces of conflict in high resolution elevation models,24,['ralf hesse'],['2696516467']
2017167989,flights into the past full waveform airborne laser scanning data for archaeological investigation,34,"['rosa lasaponara', 'rosa coluzzi', 'nicola masini']","['233151887', '2305406398', '146908812']"
2081497821,investigating the spectral capability of quickbird data to detect archaeological remains buried under vegetated and not vegetated areas,41,"['nicola masini', 'rosa lasaponara']","['146908812', '233151887']"
1916920390,declassified satellite photographs and archaeology in the middle east case studies from turkey,63,['david kennedy'],['2170009896']
1980893636,3d gpr in forensics finding a clandestine grave in a mountainous environment,35,"['alexandre novo', 'henrique lorenzo', 'fernando i rial', 'mercedes solla']","['2306069960', '2139025173', '1872054508', '2580057629']"
2074782201,methodological developments in 3d scanning and modelling of archaeological french heritage site the bronze age painted cave of les fraux dordogne france,12,"['albane burenscarozza', 'pierre grussenmeyer', 's guillemin', 'laurent carozza', 'francois leveque', 'vivien mathe']","['294891508', '2091646378', '2052679633', '2600847694', '2569661268', '2599880734']"
2282512006,improving archaeological prospection using localized uavs assisted photogrammetry an example from the roman gold district of the eria river valley nw spain,16,"['javier fernandezlozano', 'gabriel gutierrezalonso', 'gabriel gutierrezalonso']","['2581557153', '2133618624', '2133618624']"
2091769082,a geophysical investigation of subsurface structures and quaternary geology at san marcos pueblo new mexico,8,"['emily a hinz', 'emily a hinz', 'john f ferguson', 'louise pellerin', 'ann f ramenofsky']","['2305162603', '2305162603', '2173513813', '2040670238', '2336383998']"
2127229172,more than a flight the extensive contributions of uav flights to archaeological research the case study of curium site in cyprus,10,"['k themistocleous', 'athos agapiou', 'helen king', 'nigel king', 'diofantos g hadjimitsis']","['672579825', '2102797581', '2487829615', '2325300397', '1987843543']"
2021984623,addressing the challenge of detecting archaeological adobe structures in southern peru using quickbird imagery,25,"['nicola masini', 'rosa lasaponara', 'giuseppe orefici']","['146908812', '233151887', '1307530945']"
1990453689,the potential of hyperspectral and multi spectral imagery to enhance archaeological cropmark detection a comparative study,26,"['syed ali aqdus', 'w s hanson', 'jane drummond']","['1972711476', '2161810323', '2132260494']"
2553066784,archeological crop marks identified from cosmo skymed time series the case of han wei capital city luoyang china,9,"['aihui jiang', 'fulong chen', 'nicola masini', 'luigi capozzoli', 'gerardo romano', 'maria sileo', 'ruixia yang', 'panpan tang', 'panpan chen', 'rosa lasaponara', 'guolin liu']","['2272031919', '2122728365', '146908812', '2154570752', '2140959287', '1962934975', '2615125436', '2164229351', '2255883579', '233151887', '2603510863']"
1996648577,automated extraction of the archaeological tops of qanat shafts from vhr imagery in google earth,19,"['lei luo', 'xinyuan wang', 'huadong guo', 'chuansheng liu', 'jie liu', 'li li', 'xiaocui du', 'guoquan qian']","['2687459879', '2306823122', '2115863081', '2646100689', '2671113638', '2647415036', '2169115916', '2648413183']"
2470067090,the light fantastic using airborne lidar in archaeological survey,28,['s crutchley'],['2462802763']
2129428187,integrated technologies for archaeological investigation the celone valley project,20,"['marcello ciminale', 'helmut becker', 'danilo gallo']","['1965874878', '2509657949', '2145746520']"
1971256359,multi frequency polarimetric sar analysis for archaeological prospection,15,"['christopher stewart', 'rosa lasaponara', 'giovanni schiavon']","['2144575447', '233151887', '2683429092']"
2075496765,integrated geophysical and aerial sensing methods for archaeology a case history in the punic site of villamar sardinia italy,3,"['carlo piga', 'luca piroddi', 'elisa pompianu', 'gaetano ranieri', 'stefano stocco', 'antonio trogu']","['2424344075', '2041519449', '2343241902', '2634218520', '2659739095', '2096830771']"
1996716416,airborne lidar survey of irrigated agricultural landscapes an application of the slope contrast method,39,"['mark d mccoy', 'gregory p asner', 'michael w graves']","['1993885308', '1998136094', '2297741447']"
2093468690,archaeological prospecting at the double ditch state historic site north dakota usa,19,['kenneth l kvamme'],['2600466324']
2131315177,uas for archaeology new perspectives on aerial documentation,9,"['p fallavollita', 'm balsi', 's esposito', 'm g melis', 'm milanese', 'luca zappino']","['2666131524', '2752689776', '2751222217', '2650881237', '2676963956', '376715825']"
1999741657,multidimensional prospecting in north american great plains village sites,28,['kenneth l kvamme'],['2600466324']
2059390955,now you see it now you don t understanding airborne mapping lidar collection and data product generation for archaeological research in mesoamerica,32,"['juan carlos fernandezdiaz', 'william e carter', 'ramesh l shrestha', 'craig l glennie']","['2132520524', '2305002241', '2101017188', '1991356509']"
1987827309,nondestructive tree ring measurements for japanese oak and japanese beech using micro focus x ray computed tomography,27,"['takayuki okochi', 'yasuharu hoshino', 'hiroyuki fujii', 'takumi mitsutani']","['2054293707', '2167990452', '2551227746', '2800566954']"
2174845545,on the use of uavs in mining and archaeology geo accurate 3d reconstructions using various platforms and terrestrial views,10,"['alexander tscharf', 'markus rumpler', 'friedrich fraundorfer', 'gerhard mayer', 'horst bischof']","['2587403515', '1977674323', '739217077', '2110823546', '2048481453']"
1974519537,the cultural landscape of interplanetary space,30,['alice claire gorman'],['2139493662']
2144709937,integrated data analysis at an archaeological site a case study using 3d gpr magnetic and high resolution topographic data,20,"['urs boniger', 'jens tronicke']","['1957109557', '1759056120']"
2016685829,multimethodological approach to study and characterize forum novum vescovio central italy,35,"['vince gaffney', 'helen patterson', 'salvatore piro', 'dean goodman', 'yasushi nishimura']","['2085043130', '2634149077', '2197783474', '2121269922', '2277217696']"
